s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
16,22.25,1,0.4134469697,16,0.2166666667,6,319,1.363636364,72.5,0.2272727273,kafka,0,4,0,0
33,22.78787879,2,0.3497835498,22,0.1003787879,2,149,1.013422819,75.5,0.5067114094,kafka,1,2,0.01877133106,0.1772151899
51,9.490196078,2,0.1648213671,28,0.05725490196,4,148,1.060810811,39.25,0.2652027027,kafka,2,4,0.06493506494,0.1349206349
85,22.21176471,2,0.1927874184,83,0.0431372549,4,55,1.145454545,15.75,0.2863636364,kafka,3,3,0.02272727273,0.06167400881
83,22.21686747,1,0.1461968754,83,0.0458419042,2,10,1.2,6,0.6,kafka,4,2,0.04,0.1419354839
0,0,0,0,0,0,0,0,0,0,0,kafka,5,3,0.0625,0.1291666667
0,0,0,0,0,0,0,0,0,0,0,kafka,6,4,0.2,0.1141304348
0,0,0,0,0,0,0,0,0,0,0,kafka,7,3,0.1495327103,0.1229946524
76,11.63157895,4,0.1060150376,38,0.03614035088,3,85,1.105882353,31.33333333,0.368627451,kafka,8,3,0.1058201058,0.08947368421
52,11.30769231,2,0.304008705,47,0.06108597285,6,46,1,7.666666667,0.1666666667,kafka,9,6,0,0.0652173913
52,19.38461538,2,0.3685680262,46,0.06938159879,5,87,1.448275862,25.2,0.2896551724,kafka,10,5,0.02325581395,0.08092485549
71,17.52112676,2,0.3865619065,60,0.05311871227,5,90,1.211111111,21.8,0.2422222222,kafka,11,5,0.1446808511,0.1071428571
51,14.43137255,1,0.2831950729,51,0.06823529412,4,107,1.140186916,30.5,0.285046729,kafka,12,4,0.1168831169,0.09132420091
61,13.24590164,2,0.168098683,59,0.04699453552,5,106,1.386792453,29.4,0.2773584906,kafka,13,5,0.1524163569,0.04624277457
59,17.76271186,3,0.2916537323,46,0.05727644652,5,155,1.774193548,55,0.3548387097,kafka,14,5,0.1279620853,0.08695652174
